sex,age_group,wealth,residence,n,insured_n,insured_pct,nhif_n,private_n,community_n
Female,18-24,Richer,Urban,728,112,15.38,103,15,2
Female,18-24,Richest,Rural,78,21,26.92,18,5,0
Female,18-24,Richest,Urban,776,259,33.38,230,46,1
Female,25-34,Middle,Rural,692,201,29.05,190,11,6
Female,25-34,Middle,Urban,238,39,16.39,35,5,0
Female,25-34,Poorer,Rural,745,130,17.45,124,3,4
Female,25-34,Poorer,Urban,107,5,4.67,5,0,0
Female,25-34,Poorest,Rural,1134,89,7.85,66,8,15
Female,25-34,Poorest,Urban,73,4,5.48,3,0,1
Female,25-34,Richer,Rural,424,194,45.75,179,30,4
Female,25-34,Richer,Urban,839,227,27.06,218,15,1
Female,25-34,Richest,Rural,95,65,68.42,61,12,0
Female,25-34,Richest,Urban,1138,680,59.75,634,106,3
Female,35-44,Middle,Rural,669,211,31.54,197,22,5
Female,35-44,Middle,Urban,178,37,20.79,36,1,0
Female,35-44,Poorer,Rural,595,100,16.81,90,3,6
Female,35-44,Poorer,Urban,76,10,13.16,8,4,0
Female,35-44,Poorest,Rural,807,56,6.94,37,6,13
Female,35-44,Poorest,Urban,58,9,15.52,8,1,1
Female,35-44,Richer,Rural,417,246,58.99,230,37,4
Female,35-44,Richer,Urban,487,160,32.85,152,14,0
Female,35-44,Richest,Rural,92,71,77.17,64,21,1
Female,35-44,Richest,Urban,656,461,70.27,434,103,3
Female,45-59,Middle,Rural,689,235,34.11,219,14,9
Female,45-59,Middle,Urban,147,34,23.13,30,2,2
Female,45-59,Poorer,Rural,716,105,14.66,97,8,3
Female,45-59,Poorer,Urban,68,8,11.76,7,0,1
Female,45-59,Poorest,Rural,786,56,7.12,37,9,10
Female,45-59,Poorest,Urban,60,7,11.67,6,0,1
Female,45-59,Richer,Rural,391,247,63.17,230,52,4
Female,45-59,Richer,Urban,344,131,38.08,125,13,0
Female,45-59,Richest,Rural,95,82,86.32,76,24,1
Female,45-59,Richest,Urban,436,323,74.08,297,83,1
Female,60-69,Middle,Rural,301,107,35.55,101,4,4
Female,60-69,Middle,Urban,68,17,25,12,4,1
Female,60-69,Poorer,Rural,316,50,15.82,44,2,4
Female,60-69,Poorer,Urban,38,6,15.79,6,0,0
Female,60-69,Poorest,Rural,409,23,5.62,17,1,5
Female,60-69,Poorest,Urban,24,2,8.33,0,0,2
Female,60-69,Richer,Rural,181,106,58.56,99,10,2
Female,60-69,Richer,Urban,93,31,33.33,30,2,0
